id,amount,category,description,date
EXP000000,443.1,Shopping,Expense 0 - Books,2023-04-24
EXP000001,235.25,Travel,Expense 1 - Flight,2023-04-26
EXP000002,382.09,Food,Expense 2 - Lunch,2023-04-10
EXP000003,33.21,Bills,Expense 3 - Lunch,2023-06-17
EXP000004,410.87,Bills,Expense 4 - Electricity,2023-05-18
EXP000005,289.08,Education,Expense 5 - Flight,2023-04-18
EXP000006,179.81,Healthcare,Expense 6 - Groceries,2023-04-06
EXP000007,404.41,Entertainment,Expense 7 - Electricity,2023-10-05
EXP000008,63.0,Food,Expense 8 - Movie,2023-08-17
EXP000009,212.15,Entertainment,Expense 9 - Lunch,2023-03-15
EXP000010,137.96,Shopping,Expense 10 - Electricity,2023-09-08
EXP000011,98.28,Entertainment,Expense 11 - Medicine,2023-06-04
EXP000012,122.58,Entertainment,Expense 12 - Flight,2023-08-07
EXP000013,316.47,Bills,Expense 13 - Lunch,2023-01-17
EXP000014,423.77,Healthcare,Expense 14 - Lunch,2023-06-28
EXP000015,182.16,Transportation,Expense 15 - Gas,2023-06-21
EXP000016,494.58,Food,Expense 16 - Books,2023-01-17
EXP000017,105.24,Entertainment,Expense 17 - Flight,2023-03-13
EXP000018,373.83,Healthcare,Expense 18 - Electricity,2023-04-05
EXP000019,363.54,Entertainment,Expense 19 - Groceries,2023-02-09
EXP000020,183.68,Travel,Expense 20 - Medicine,2023-06-06
EXP000021,249.66,Bills,Expense 21 - Movie,2023-06-24
EXP000022,193.99,Shopping,Expense 22 - Lunch,2023-12-01
EXP000023,21.02,Travel,Expense 23 - Lunch,2023-08-23
EXP000024,119.39,Healthcare,Expense 24 - Movie,2023-11-26
EXP000025,20.14,Transportation,Expense 25 - Flight,2023-08-19
EXP000026,238.52,Shopping,Expense 26 - Gas,2023-11-19
EXP000027,38.47,Shopping,Expense 27 - Lunch,2023-07-23
EXP000028,107.2,Education,Expense 28 - Flight,2023-05-15
EXP000029,462.03,Food,Expense 29 - Medicine,2023-06-23
EXP000030,171.27,Bills,Expense 30 - Medicine,2023-11-17
EXP000031,388.42,Healthcare,Expense 31 - Medicine,2023-06-09
EXP000032,207.31,Shopping,Expense 32 - Gas,2023-11-16
EXP000033,485.88,Education,Expense 33 - Flight,2023-11-18
EXP000034,153.29,Bills,Expense 34 - Medicine,2023-08-28
EXP000035,299.47,Healthcare,Expense 35 - Gas,2023-05-19
EXP000036,392.4,Healthcare,Expense 36 - Books,2023-02-08
EXP000037,360.35,Education,Expense 37 - Movie,2023-10-30
EXP000038,218.79,Healthcare,Expense 38 - Movie,2023-12-20
EXP000039,54.8,Transportation,Expense 39 - Medicine,2023-08-22
EXP000040,456.87,Food,Expense 40 - Gas,2023-06-04
EXP000041,55.61,Education,Expense 41 - Books,2023-07-01
EXP000042,29.87,Shopping,Expense 42 - Electricity,2023-05-01
EXP000043,390.45,Food,Expense 43 - Lunch,2023-07-22
EXP000044,330.79,Healthcare,Expense 44 - Books,2023-03-21
EXP000045,326.63,Education,Expense 45 - Lunch,2023-05-03
EXP000046,159.49,Transportation,Expense 46 - Movie,2023-03-01
EXP000047,114.91,Transportation,Expense 47 - Groceries,2023-01-27
EXP000048,367.18,Food,Expense 48 - Lunch,2023-08-05
EXP000049,215.61,Bills,Expense 49 - Books,2023-02-14
EXP000050,459.65,Education,Expense 50 - Books,2023-11-26
EXP000051,6.96,Education,Expense 51 - Books,2023-09-26
EXP000052,423.01,Travel,Expense 52 - Groceries,2023-09-11
EXP000053,482.04,Travel,Expense 53 - Movie,2023-10-20
EXP000054,445.61,Shopping,Expense 54 - Gas,2023-12-25
EXP000055,371.98,Shopping,Expense 55 - Gas,2023-05-20
EXP000056,387.92,Healthcare,Expense 56 - Lunch,2023-09-06
EXP000057,23.27,Travel,Expense 57 - Gas,2023-10-15
EXP000058,397.67,Entertainment,Expense 58 - Flight,2023-05-17
EXP000059,219.6,Travel,Expense 59 - Movie,2023-03-23
EXP000060,243.14,Food,Expense 60 - Electricity,2023-05-18
EXP000061,208.15,Food,Expense 61 - Electricity,2023-06-15
EXP000062,380.39,Bills,Expense 62 - Groceries,2023-02-18
EXP000063,176.69,Shopping,Expense 63 - Medicine,2023-05-08
EXP000064,465.72,Food,Expense 64 - Movie,2023-11-29
EXP000065,418.14,Bills,Expense 65 - Flight,2023-07-06
EXP000066,121.72,Transportation,Expense 66 - Lunch,2023-07-19
EXP000067,360.87,Transportation,Expense 67 - Groceries,2023-06-22
EXP000068,30.61,Transportation,Expense 68 - Flight,2023-05-17
EXP000069,17.9,Travel,Expense 69 - Lunch,2023-06-10
EXP000070,329.14,Transportation,Expense 70 - Movie,2023-03-31
EXP000071,93.44,Bills,Expense 71 - Lunch,2023-01-03
EXP000072,234.44,Education,Expense 72 - Flight,2023-07-04
EXP000073,61.03,Education,Expense 73 - Books,2023-10-10
EXP000074,55.23,Education,Expense 74 - Books,2023-05-16
EXP000075,351.01,Shopping,Expense 75 - Movie,2023-11-13
EXP000076,388.86,Shopping,Expense 76 - Books,2023-01-17
EXP000077,459.25,Food,Expense 77 - Movie,2023-08-02
EXP000078,414.13,Healthcare,Expense 78 - Medicine,2023-01-22
EXP000079,55.15,Travel,Expense 79 - Movie,2023-01-27
EXP000080,345.16,Shopping,Expense 80 - Lunch,2023-09-08
EXP000081,458.5,Education,Expense 81 - Gas,2023-10-10
EXP000082,21.93,Travel,Expense 82 - Lunch,2023-01-08
EXP000083,318.9,Transportation,Expense 83 - Groceries,2023-04-07
EXP000084,60.01,Shopping,Expense 84 - Flight,2023-07-18
EXP000085,249.42,Healthcare,Expense 85 - Electricity,2023-01-29
EXP000086,166.44,Bills,Expense 86 - Groceries,2023-10-27
